# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulsehieghts, pulseintegrals, 4xn, 4xt, t_trigger
0 /s2 (12L, 1081331621, 516500086L, 1081331621516500086L, [18, 11, -1, -1], [4, 1, -1, -1], -999.0, -999.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
4 /s3 (66L, 1083111105, 122819471L, 1083111105122819471L, [20, 293, -1, -1], [0, 20, -1, -1], -999.0, -999.0, -1.0, -1.0, 260.0, 307.5, -1.0, -1.0, -999.0)
5 /s3 (95L, 1083111316, 919095794L, 1083111316919095794L, [48, 222, -1, -1], [2, 14, -1, -1], -999.0, -999.0, -1.0, -1.0, 307.5, 305.0, -1.0, -1.0, -999.0)
82 /s3 (453L, 1092369035, 677492190L, 1092369035677492190L, [242, 248, -1, -1], [23, 11, -1, -1], -999.0, -999.0, -1.0, -1.0, 237.5, 230.0, -1.0, -1.0, -999.0)
90 /s3 (508L, 1092369426, 694372350L, 1092369426694372350L, [118, 94, -1, -1], [-7, 0, -1, -1], -7.0, -999.0, -1.0, -1.0, 165.0, 167.5, -1.0, -1.0, -999.0)
110 /s2 (2117L, 1092370044, 565991490L, 1092370044565991490L, [26, 24, -1, -1], [1, 1, -1, -1], -999.0, -999.0, -1.0, -1.0, 260.0, 267.5, -1.0, -1.0, -999.0)
114 /s3 (764L, 1092370134, 477349642L, 1092370134477349642L, [400, 267, -1, -1], [29, 5, -1, -1], -999.0, -999.0, -1.0, -1.0, 105.0, 240.0, -1.0, -1.0, 322.5)
118 /s2 (2459L, 1092370685, 181484415L, 1092370685181484415L, [141, 106, -1, -1], [10, 7, -1, -1], -999.0, -999.0, -1.0, -1.0, 305.0, 305.0, -1.0, -1.0, -999.0)
164 /s501 (1939L, 1093379730, 283657757L, 1093379730283657757L, [246, 192, -1, -1], [-140, -21, -1, -1], -140.0, -21.0, -1.0, -1.0, 92.5, 212.5, -1.0, -1.0, -999.0)
171 /s2 (3476L, 1095184939, 28148964L, 1095184939028148964L, [28, 30, -1, -1], [1, 1, -1, -1], -999.0, -999.0, -1.0, -1.0, 307.5, 307.5, -1.0, -1.0, -999.0)
175 /s101 (20L, 1110588091, 11491770L, 1110588091011491770L, [32, 114, -1, -1], [-8, -329, -1, -1], -8.0, -329.0, -1.0, -1.0, 172.5, 0.0, -1.0, -1.0, -999.0)
197 /s303 (264L, 1119659102, 268640405L, 1119659102268640405L, [66, 52, -1, -1], [8, 1, -1, -1], -999.0, -999.0, -1.0, -1.0, 232.5, 162.5, -1.0, -1.0, -999.0)
271 /s304 (156L, 1119668274, 68789947L, 1119668274068789947L, [105, 65, -1, -1], [9, -3, -1, -1], 0.005515099968761206, -3.0, -1.0, -1.0, 92.5, 102.5, -1.0, -1.0, -999.0)
284 /s3002 (13L, 1120444184, 182888115L, 1120444184182888115L, [97, 62, -1, -1], [-3, 4, -1, -1], -3.0, -999.0, -1.0, -1.0, 207.5, 205.0, -1.0, -1.0, -999.0)
292 /s3002 (125L, 1120444962, 419741652L, 1120444962419741652L, [125, 65, -1, -1], [-17, -3, -1, -1], -17.0, -3.0, -1.0, -1.0, 15.0, 22.5, -1.0, -1.0, -999.0)
319 /s3 (2251L, 1120447240, 318910503L, 1120447240318910503L, [52, 57, -1, -1], [-6, -51, -1, -1], -6.0, -51.0, -1.0, -1.0, 30.0, 172.5, -1.0, -1.0, -999.0)
321 /s301 (53L, 1120447262, 349243770L, 1120447262349243770L, [-1, 87, -1, -1], [-1, -118, -1, -1], -1.0, -118.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
321 /s303 (541L, 1120447262, 349221498L, 1120447262349221498L, [99, 82, -1, -1], [-11, -4, -1, -1], -11.0, -4.0, -1.0, -1.0, 40.0, 172.5, -1.0, -1.0, -999.0)
322 /s301 (80L, 1120447320, 477775254L, 1120447320477775254L, [-1, 69, -1, -1], [-1, -35, -1, -1], -1.0, -35.0, -1.0, -1.0, -1.0, 92.5, -1.0, -1.0, -999.0)
329 /s301 (215L, 1120447492, 972983683L, 1120447492972983683L, [-1, 79, -1, -1], [-1, -185, -1, -1], -1.0, -185.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
329 /s304 (828L, 1120447492, 972983163L, 1120447492972983163L, [78, 47, -1, -1], [239, 91, -1, -1], -999.0, 0.10441000014543533, -1.0, -1.0, 17.5, 27.5, -1.0, -1.0, -999.0)
330 /s301 (218L, 1120447493, 662888367L, 1120447493662888367L, [-1, 115, -1, -1], [-1, -42, -1, -1], -1.0, -42.0, -1.0, -1.0, -1.0, 70.0, -1.0, -1.0, -999.0)
330 /s303 (974L, 1120447493, 662869338L, 1120447493662869338L, [90, 67, -1, -1], [8, 4, -1, -1], -999.0, -999.0, -1.0, -1.0, 170.0, 157.5, -1.0, -1.0, -999.0)
334 /s301 (357L, 1120447729, 808486550L, 1120447729808486550L, [-1, 195, -1, -1], [-1, -313, -1, -1], -1.0, -313.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
334 /s304 (1272L, 1120447729, 808482282L, 1120447729808482282L, [88, 61, -1, -1], [-1, -1, -1, -1], -1.0, -1.0, -1.0, -1.0, 232.5, 235.0, -1.0, -1.0, -999.0)
337 /s301 (421L, 1120447883, 608276899L, 1120447883608276899L, [-1, 58, -1, -1], [-1, -91, -1, -1], -1.0, -91.0, -1.0, -1.0, -1.0, 52.5, -1.0, -1.0, -999.0)
337 /s304 (1411L, 1120447883, 608274487L, 1120447883608274487L, [51, 33, -1, -1], [1, -4, -1, -1], -999.0, -4.0, -1.0, -1.0, 237.5, 235.0, -1.0, -1.0, -999.0)
339 /s304 (1412L, 1120447884, 437426376L, 1120447884437426376L, [56, 38, -1, -1], [-4, -3, -1, -1], -4.0, -3.0, -1.0, -1.0, 235.0, 237.5, -1.0, -1.0, -999.0)
342 /s301 (598L, 1120448032, 372076311L, 1120448032372076311L, [-1, 52, -1, -1], [-1, -17, -1, -1], -1.0, -17.0, -1.0, -1.0, -1.0, 90.0, -1.0, -1.0, -999.0)
345 /s301 (752L, 1120448126, 219660058L, 1120448126219660058L, [-1, 131, -1, -1], [-1, -210, -1, -1], -1.0, -210.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
345 /s304 (2163L, 1120448126, 219658417L, 1120448126219658417L, [73, 45, -1, -1], [15, -1, -1, -1], -999.0, -1.0, -1.0, -1.0, 25.0, 27.5, -1.0, -1.0, -999.0)
347 /s301 (853L, 1120448209, 73063881L, 1120448209073063881L, [-1, 156, -1, -1], [-1, -42, -1, -1], -1.0, -42.0, -1.0, -1.0, -1.0, 40.0, -1.0, -1.0, -999.0)
