# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulsehieghts, pulseintegrals, 4xn, 4xt, t_trigger
251 /s9 (838L, 1119665066, 224598900L, 1119665066224598900L, [301, 128, -1, -1], [-98, -41, -1, -1], -98.0, -41.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
281 /s101 (83L, 1120084433, 825221232L, 1120084433825221232L, [33, 38, -1, -1], [-4, 4, -1, -1], -4.0, -999.0, -1.0, -1.0, 157.5, 47.5, -1.0, -1.0, -999.0)
326 /s301 (184L, 1120447431, 800720934L, 1120447431800720934L, [-1, 65, -1, -1], [-1, -40, -1, -1], -1.0, -40.0, -1.0, -1.0, -1.0, 97.5, -1.0, -1.0, -999.0)
326 /s304 (760L, 1120447431, 800721744L, 1120447431800721744L, [56, 33, -1, -1], [0, -3, -1, -1], -999.0, -3.0, -1.0, -1.0, 222.5, 227.5, -1.0, -1.0, -999.0)
1060 /s3 (9176L, 1156827070, 184061132L, 1156827070184061132L, [35, 44, -1, -1], [20, -1, -1, -1], -999.0, -1.0, -1.0, -1.0, 40.0, 145.0, -1.0, -1.0, -999.0)
1120 /s304 (9632L, 1159744831, 184656040L, 1159744831184656040L, [28, 40, -1, -1], [-6, -11, -1, -1], -6.0, -11.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
1136 /s7 (1297L, 1160025115, 901639905L, 1160025115901639905L, [52, 51, -1, -1], [2, -1, -1, -1], -999.0, -1.0, -1.0, -1.0, 175.0, 232.5, -1.0, -1.0, -999.0)
1368 /s304 (12090L, 1181333889, 589782448L, 1181333889589782448L, [124, 36, -1, -1], [-44, -9, -1, -1], -44.0, -9.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
1448 /s7 (4988L, 1182526429, 254422745L, 1182526429254422745L, [34, 62, -1, -1], [4, -87, -1, -1], 0.004589300137013197, -87.0, -1.0, -1.0, 27.5, 0.0, -1.0, -1.0, -999.0)
1448 /s509 (15639L, 1182526429, 254761978L, 1182526429254761978L, [42, 35, -1, -1], [-27, -18, -1, -1], -27.0, -18.0, -1.0, -1.0, 62.5, 67.5, -1.0, -1.0, -999.0)
1518 /s304 (12939L, 1183484287, 108184922L, 1183484287108184922L, [293, 65, -1, -1], [-96, -20, -1, -1], -96.0, -20.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
1579 /s7 (5806L, 1183515831, 143087570L, 1183515831143087570L, [43, 41, -1, -1], [6, 0, -1, -1], 0.0043541002087295055, -999.0, -1.0, -1.0, 217.5, 235.0, -1.0, -1.0, -999.0)
1583 /s7 (5882L, 1183516008, 82404589L, 1183516008082404589L, [44, 40, -1, -1], [-4, 0, -1, -1], -4.0, -999.0, -1.0, -1.0, 265.0, 235.0, -1.0, -1.0, -999.0)
1585 /s7 (6028L, 1183516101, 410592369L, 1183516101410592369L, [44, 50, -1, -1], [-4, 4, -1, -1], -4.0, -999.0, -1.0, -1.0, 80.0, 45.0, -1.0, -1.0, -999.0)
1651 /s7 (7469L, 1183591721, 282336232L, 1183591721282336232L, [49, 49, -1, -1], [-4, 0, -1, -1], -4.0, -999.0, -1.0, -1.0, 225.0, 235.0, -1.0, -1.0, -999.0)
2973 /s8103 (4563L, 1278159339, 606665313L, 1278159339606665313L, [75, 68, -1, -1], [755, 707, -1, -1], 0.1882299929857254, 0.1935099959373474, -1.0, -1.0, 15.0, 1470.0, -1.0, -1.0, 1475.0)
3378 /s101 (3933L, 1282672663, 398797947L, 1282672663398797947L, [2, 447, 2, 288], [0, 5384, 0, 3364], 0.0, 1.3217999935150146, 0.0, 0.7656300067901611, -999.0, 15.0, -999.0, 60.0, 62.5)
4377 /s503 (10972L, 1314122303, 235473243L, 1314122303235473243L, [190, 3, 4, -999], [2376, 0, 0, -999], 0.7965400218963623, 0.0, 0.0, -999.0, 15.0, -999.0, -999.0, -999.0, -999.0)
4477 /s503 (11179L, 1314342330, 462156186L, 1314342330462156186L, [4, 2, 630, 239], [0, 0, 7505, 28381], 0.0, 0.0, 2.111299991607666, 10.086999893188477, -999.0, -999.0, 300.0, 17.5, 1072.5)
4738 /s304 (28139L, 1315686787, 302070912L, 1315686787302070912L, [76, 59, -1, -1], [900, 634, -1, -1], 0.26072999835014343, 0.19283999502658844, -1.0, -1.0, 397.5, 12.5, -1.0, -1.0, 402.5)
5639 /s503 (16898L, 1342247273, 147119574L, 1342247273147119574L, [137, 4, 3, -999], [1758, 0, 0, -999], 0.8723700046539307, 0.0, 0.0, -999.0, 15.0, -999.0, -999.0, -999.0, -999.0)
5680 /s3303 (6137L, 1343590959, 54837719L, 1343590959054837719L, [232, 150, -1, -1], [2737, 1599, -1, -1], 1.017899990081787, 0.6489899754524231, -1.0, -1.0, 30.0, 12.5, -1.0, -1.0, 32.5)
6113 /s101 (7742L, 1346354180, 745700934L, 1346354180745700934L, [2, 268, 3, 188], [0, 2369, 0, 2574], 0.0, 1.0369000434875488, -999.0, 1.0199999809265137, -999.0, 15.0, -999.0, 47.5, 52.5)
6145 /s305 (2485L, 1348021836, 393314084L, 1348021836393314084L, [114, 327, -1, -1], [1002, 3945, -1, -1], 0.39601001143455505, 1.3092999458312988, -1.0, -1.0, 1275.0, 12.5, -1.0, -1.0, 1280.0)
6716 /s3202 (14640L, 1380861738, 351938319L, 1380861738351938319L, [3, 174, 279, 2], [0, 2027, 3590, 0], 0.0, 1.041700005531311, 1.9347000122070312, 0.0, -999.0, 17.5, 12.5, -999.0, 22.5)
6952 /s3202 (15476L, 1398442416, 522295697L, 1398442416522295697L, [261, 2, 191, 4], [2758, 0, 2727, 0], 1.417799949645996, 0.0, 1.5370999574661255, 0.0, 12.5, -999.0, 12.5, -999.0, 17.5)
8129 /s7101 (7543L, 1406569620, 585403374L, 1406569620585403374L, [197, 73, -1, -1], [2071, 534, -1, -1], 1.207900047302246, -999.0, -1.0, -1.0, 897.5, 15.0, -1.0, -1.0, 897.5)
8175 /s8009 (5716L, 1407084132, 942345521L, 1407084132942345521L, [61, 44, -1, -1], [619, 342, -1, -1], 0.35034000873565674, 0.1846500039100647, -1.0, -1.0, 1082.5, 15.0, -1.0, -1.0, 1082.5)
