# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulseheights, pulseintegrals, 4xn, 4xt, t_trigger
2 /s501 (157L, 1083110909, 173597385L, 1083110909173597385L, [25, 22, -1, -1], [-2, -1, -1, -1], -2.0, -1.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
59 /s7 (305L, 1089309665, 927117920L, 1089309665927117920L, [364, 1737, -1, -1], [-137, -595, -1, -1], -137.0, -595.0, -1.0, -1.0, -999.0, 500.0, -1.0, -1.0, -999.0)
108 /s2 (2060L, 1092370002, 50023286L, 1092370002050023286L, [246, 286, -1, -1], [18, 24, -1, -1], -999.0, -999.0, -1.0, -1.0, 307.5, 305.0, -1.0, -1.0, -999.0)
154 /s501 (1810L, 1093377498, 888283752L, 1093377498888283752L, [77, 151, -1, -1], [-25, -55, -1, -1], -25.0, -55.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
178 /s303 (64L, 1116704971, 854793626L, 1116704971854793626L, [114, 114, -1, -1], [6, 4, -1, -1], -999.0, -999.0, -1.0, -1.0, 230.0, 230.0, -1.0, -1.0, -999.0)
215 /s509 (224L, 1119664175, 565329005L, 1119664175565329005L, [199, 186, -1, -1], [-64, -63, -1, -1], -64.0, -63.0, -1.0, -1.0, 415.0, -999.0, -1.0, -1.0, -999.0)
218 /s5 (289L, 1119664309, 874587668L, 1119664309874587668L, [67, 228, -1, -1], [-20, -81, -1, -1], -20.0, -81.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
218 /s501 (3569L, 1119664309, 851443430L, 1119664309851443430L, [-1, -1, 205, 172], [-1, -1, -69, -59], -1.0, -1.0, -69.0, -59.0, -1.0, -1.0, -999.0, -999.0, -999.0)
218 /s501 (3570L, 1119664309, 851443450L, 1119664309851443450L, [-1, -1, -1, -1], [-1, -1, -1, -1], -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -999.0)
230 /s10 (933L, 1119664637, 794126504L, 1119664637794126504L, [40, 218, -1, -1], [-11, -73, -1, -1], -11.0, -73.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
239 /s3 (1485L, 1119664829, 782857778L, 1119664829782857778L, [46, 40, -1, -1], [-15, -11, -1, -1], -15.0, -11.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
239 /s9 (600L, 1119664829, 792674911L, 1119664829792674911L, [48, 39, -1, -1], [-13, -10, -1, -1], -13.0, -10.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
