,stations,n,max distance,C,rchi2
0,"[7001, 7002, 7003]",277229,81,5.412165338149935,1.7008645359527004
1,"[102, 104, 105]",118660,86,7.743902420419185,1.7155362002773904
2,"[501, 502, 508]",565191,116,7.501960870555789,17.628976645302547
3,"[501, 503, 508]",292710,148,7.017206719270328,2.72053370238096
4,"[503, 506, 508]",209701,148,7.4962246688765575,5.004971791432691
5,"[501, 506, 508]",372040,160,6.978026222732188,3.5035326762537458
6,"[502, 508, 511]",104694,160,7.285001566355158,1.6262412395376304
7,"[503, 504, 506]",351781,160,7.237088183398883,5.3886580808714655
8,"[501, 503, 506]",438173,160,7.366376605128628,7.0488146797508175
9,"[501, 502, 511]",100337,177,7.146172463663295,1.5224537607092001
10,"[505, 508, 511]",106724,195,6.771592467629216,1.4277614454992371
11,"[502, 503, 508]",101847,216,6.836252097737273,1.0901264324476527
12,"[3201, 3202, 3203]",33343,242,6.871211770201647,0.5080084269931621
13,"[502, 503, 506]",135641,243,6.758742293458248,2.849714315344741
14,"[501, 505, 511]",74313,244,6.444523908236591,3.867733446413754
15,"[506, 508, 511]",62504,244,6.905847123678243,1.6098623378280534
16,"[502, 506, 511]",33424,244,6.680623153901917,1.5093016849913217
17,"[501, 506, 511]",51326,244,6.9071910071466975,2.060587340941917
18,"[501, 502, 505]",234127,248,6.526333961284523,2.7678933109544652
19,"[502, 505, 508]",100049,248,6.604461619165835,0.9265949805996172
20,"[505, 506, 511]",44777,253,6.482936985303978,2.296658024510539
21,"[505, 506, 508]",108752,253,6.769536908373764,1.57318115987284
22,"[501, 505, 506]",145123,253,6.565974755416402,3.2484826387500494
23,"[502, 505, 506]",81081,253,6.334657323561129,4.6276010365639415
24,"[504, 506, 508]",100115,265,6.558876391029049,1.3620380176853333
25,"[503, 504, 508]",84315,265,6.345949097380531,2.7742634977358707
26,"[501, 504, 506]",184609,266,6.661714527560815,1.0666487335535109
27,"[503, 506, 511]",19530,290,6.5129331464497415,0.7585391776733471
28,"[502, 503, 511]",15633,290,6.506005809292097,0.9995849339326752
29,"[503, 504, 509]",78598,304,6.0956424850665005,3.0547264338736793
30,"[501, 503, 505]",118691,332,5.966898665815615,0.9769608039669664
31,"[502, 503, 505]",77922,332,6.132791121054162,1.782591903522184
32,"[501, 503, 509]",78559,345,5.987766349987141,1.6670208014430352
33,"[501, 504, 509]",57222,345,5.864562375679375,2.649345506010295
34,"[502, 504, 506]",68904,353,5.943669315672323,2.1238337311285425
35,"[504, 506, 509]",50478,385,5.596073443480406,3.385816929774325
36,"[501, 506, 509]",52792,385,5.686196068693232,2.828083722331912
37,"[502, 503, 509]",41819,386,5.682338553953824,1.9320749823850032
38,"[502, 506, 509]",31228,386,5.461083338895891,2.347989851037559
39,"[502, 504, 509]",29970,386,5.426430804703172,4.0639523307356615
40,"[506, 508, 509]",23023,389,5.5682056336207975,1.2143734556325951
41,"[504, 508, 509]",20582,389,5.631519440781331,2.256209910152321
42,"[501, 504, 511]",13916,397,5.504602823085693,0.3550279046526405
43,"[502, 504, 511]",10209,397,5.576475352160351,1.246914655078607
44,"[504, 505, 508]",31895,413,5.6507247318410565,1.2891581308620337
45,"[501, 504, 505]",75726,413,5.638165233937959,1.7814121150818838
46,"[502, 504, 505]",49531,413,5.638414535067318,4.873415676732772
47,"[503, 509, 511]",3663,522,4.354090618491893,0.5788977800263736
48,"[506, 509, 511]",5106,522,4.856921820594088,1.9970893956521454
49,"[504, 509, 511]",3605,522,4.844391353389153,1.743910482633166
50,"[8001, 8004, 8008]",225,573,5.796508008929374,1.3249999111128856
51,"[502, 505, 509]",15389,585,4.267072980659691,1.6822844667437478
52,"[505, 506, 509]",16896,585,4.284249960091062,1.8039350150618034
53,"[504, 505, 509]",14711,585,4.654585121614219,3.045546474132644
54,"[8001, 8004, 8009]",374,623,5.013856744381578,1.7421823713284292
55,"[8004, 8008, 8009]",105,625,6.24416434844874,1.8666255950613275
56,"[3, 7, 22]",0,849,1.000000001802418,inf
57,"[3, 22, 23]",20,955,-1.8274659943574192,inf
58,"[2001, 2002, 2006]",0,1045,1.000000001802418,inf
