,max distance,min angle,data days,stations,subcluster
0,81,48,1481,"(7001, 7002, 7003)",Enschede
1,86,55,829,"(102, 104, 105)",Zaanstad
2,116,26,549,"(501, 502, 508)",Science Park
3,148,21,698,"(501, 503, 508)",Science Park
4,148,49,666,"(503, 506, 508)",Science Park
5,160,18,664,"(501, 506, 508)",Science Park
6,160,44,159,"(502, 508, 511)",Science Park
7,160,45,1236,"(503, 504, 506)",Science Park
8,160,46,1318,"(501, 503, 506)",Science Park
9,177,29,159,"(501, 502, 511)",Science Park
10,195,26,203,"(505, 508, 511)",Science Park
11,216,30,520,"(502, 503, 508)",Science Park
12,242,24,324,"(3201, 3202, 3203)",Middelharnis
13,243,28,1095,"(502, 503, 506)",Science Park
14,244,18,207,"(501, 505, 511)",Science Park
15,244,25,203,"(506, 508, 511)",Science Park
16,244,38,160,"(502, 506, 511)",Science Park
17,244,41,207,"(501, 506, 511)",Science Park
18,248,20,1675,"(501, 502, 505)",Science Park
19,248,27,519,"(502, 505, 508)",Science Park
20,253,21,210,"(505, 506, 511)",Science Park
21,253,30,654,"(505, 506, 508)",Science Park
22,253,37,1272,"(501, 505, 506)",Science Park
23,253,58,1029,"(502, 505, 506)",Science Park
24,265,22,626,"(504, 506, 508)",Science Park
25,265,22,657,"(503, 504, 508)",Science Park
26,266,33,1211,"(501, 504, 506)",Science Park
27,290,23,210,"(503, 506, 511)",Science Park
28,290,33,160,"(502, 503, 511)",Science Park
29,304,27,1252,"(503, 504, 509)",Science Park
30,332,20,1816,"(501, 503, 505)",Science Park
31,332,40,1588,"(502, 503, 505)",Science Park
32,345,20,1335,"(501, 503, 509)",Science Park
33,345,47,1384,"(501, 504, 509)",Science Park
34,353,23,1020,"(502, 504, 506)",Science Park
35,385,23,1190,"(504, 506, 509)",Science Park
36,385,24,1273,"(501, 506, 509)",Science Park
37,386,32,1115,"(502, 503, 509)",Science Park
38,386,36,1065,"(502, 506, 509)",Science Park
39,386,48,1144,"(502, 504, 509)",Science Park
40,389,19,591,"(506, 508, 509)",Science Park
41,389,42,598,"(504, 508, 509)",Science Park
42,397,21,181,"(501, 504, 511)",Science Park
43,397,23,148,"(502, 504, 511)",Science Park
44,413,22,654,"(504, 505, 508)",Science Park
45,413,34,1794,"(501, 504, 505)",Science Park
46,413,36,1576,"(502, 504, 505)",Science Park
47,522,20,196,"(503, 509, 511)",Science Park
48,522,25,196,"(506, 509, 511)",Science Park
49,522,35,170,"(504, 509, 511)",Science Park
50,573,43,609,"(8001, 8004, 8008)",Eindhoven
51,585,18,1152,"(502, 505, 509)",Science Park
52,585,18,1254,"(505, 506, 509)",Science Park
53,585,29,1357,"(504, 505, 509)",Science Park
54,623,18,620,"(8001, 8004, 8009)",Eindhoven
55,625,54,748,"(8004, 8008, 8009)",Eindhoven
56,745,36,0,"(1002, 1003, 1008)",Utrecht
57,849,23,699,"(3, 7, 22)",Amsterdam
58,955,23,117,"(3, 22, 23)",Amsterdam
59,1045,28,738,"(2001, 2002, 2006)",Nijmegen
60,1230,19,0,"(2, 22, 23)",Amsterdam
