,timestamp,value,pressure
94373,1420002000,2043,1031.62
94374,1420005600,2120,1031.83
94375,1420009200,2160,1032.13
94376,1420012800,2099,1032.47
94377,1420016400,2070,1032.74
94378,1420020000,2090,1033.05
94379,1420023600,2096,1032.95
94380,1420027200,2101,1032.4
94381,1420030800,2080,1032.37
94382,1420034400,2163,1032.44
94383,1420038000,2144,1032.61
94384,1420041600,2121,1032.78
94385,1420045200,2066,1032.78
94386,1420048800,2066,1032.71
94387,1420052400,2162,1032.84
94388,1420056000,2112,1033.11
94389,1420059600,2164,1033.15
94390,1420063200,2126,1032.88
94391,1420066800,2142,1032.34
94392,1420070400,2209,1032.34
94393,1420074000,2077,1032.44
94394,1420077600,2132,1031.93
94395,1420081200,2078,1031.19
94396,1420084800,2205,1032.23
94397,1420088400,2107,1031.76
94398,1420092000,2218,1030.17
94399,1420095600,2192,1030.95
94400,1420099200,2154,1031.93
94401,1420102800,2107,1031.15
94402,1420106400,2097,1031.32
94403,1420110000,2145,1030.31
94404,1420113600,2154,1029.26
94405,1420117200,2088,1029.05
94406,1420120800,2121,1027.8
94407,1420124400,2165,1027.7
94408,1420128000,2141,1026.34
94409,1420131600,2300,1025.73
94410,1420135200,2182,1024.68
94411,1420138800,2171,1024.14
94412,1420142400,2158,1023.19
94413,1420146000,2304,1022.11
94414,1420149600,2246,1020.72
94415,1420153200,2222,1019.03
94416,1420156800,2339,1019.03
94417,1420160400,2369,1018.62
94418,1420164000,2242,1017.67
94419,1420167600,2332,1017.37
94420,1420171200,2304,1016.83
94421,1420174800,2212,1016.39
94422,1420178400,2214,1016.9
94423,1420182000,2227,1018.55
94424,1420185600,2306,1019.98
94425,1420189200,2165,1021.36
94426,1420192800,2264,1022.58
94427,1420196400,2192,1023.67
94428,1420200000,2105,1024.07
94429,1420203600,2153,1024.38
94430,1420207200,2190,1025.09
94431,1420210800,2272,1025.94
94432,1420214400,2116,1027.39
94433,1420218000,2136,1027.36
94434,1420221600,2169,1028.04
94435,1420225200,2171,1028.34
94436,1420228800,2158,1028.95
94437,1420232400,2171,1029.29
94438,1420236000,2233,1029.46
94439,1420239600,2203,1029.19
94440,1420243200,2171,1029.19
94441,1420246800,2132,1028.51
94442,1420250400,2216,1028.0
94443,1420254000,2243,1026.82
94444,1420257600,2218,1025.7
94445,1420261200,2244,1024.51
94446,1420264800,2290,1024.01
94447,1420268400,2246,1023.26
94448,1420272000,2237,1022.52
94449,1420275600,2231,1021.94
94450,1420279200,2254,1021.13
94451,1420282800,2316,1019.74
94452,1420286400,2296,1017.91
94453,1420290000,2317,1016.96
94454,1420293600,2312,1016.49
94455,1420297200,2280,1015.95
94456,1420300800,2348,1016.05
94457,1420304400,2320,1016.96
94458,1420308000,2425,1017.37
94459,1420311600,2223,1018.49
94460,1420315200,2316,1019.57
94461,1420318800,2242,1020.86
94462,1420322400,2188,1022.41
94463,1420326000,2305,1024.75
94464,1420329600,2210,1024.75
94465,1420333200,2195,1025.43
94466,1420336800,2187,1026.58
