Station 501;;
1 jan 2015 - 22 nov 2015;;
per uur;;
;;
timestamp;evenrate;pressure
;[events/hour];[hPa]
1420002000;2043;1031
1420005600;2120;1031
1420009200;2160;1032
1420012800;2099;1032
1420016400;2070;1032
1420020000;2090;1033
1420023600;2096;1032
1420027200;2101;1032
1420030800;2080;1032
1420034400;2163;1032
1420038000;2144;1032
1420041600;2121;1032
1420045200;2066;1032
1420048800;2066;1032
1420052400;2162;1032
1420056000;2112;1033
1420059600;2164;1033
1420063200;2126;1032
1420066800;2142;1032
1420070400;2209;1032
1420074000;2077;1032
1420077600;2132;1031
1420081200;2078;1031
1420084800;2205;1032
1420088400;2107;1031
1420092000;2218;1030
1420095600;2192;1030
1420099200;2154;1031
1420102800;2107;1031
1420106400;2097;1031
1420110000;2145;1030
1420113600;2154;1029
1420117200;2088;1029
1420120800;2121;1027
1420124400;2165;1027
1420128000;2141;1026
1420131600;2300;1025
1420135200;2182;1024
1420138800;2171;1024
1420142400;2158;1023
1420146000;2304;1022
1420149600;2246;1020
1420153200;2222;1019
1420156800;2339;1019
1420160400;2369;1018
1420164000;2242;1017
1420167600;2332;1017
1420171200;2304;1016
1420174800;2212;1016
1420178400;2214;1016
1420182000;2227;1018
1420185600;2306;1019
1420189200;2165;1021
1420192800;2264;1022
1420196400;2192;1023
1420200000;2105;1024
1420203600;2153;1024
1420207200;2190;1025
1420210800;2272;1025
1420214400;2116;1027
1420218000;2136;1027
1420221600;2169;1028
1420225200;2171;1028
1420228800;2158;1028
1420232400;2171;1029
1420236000;2233;1029
1420239600;2203;1029
1420243200;2171;1029
1420246800;2132;1028
1420250400;2216;1028
1420254000;2243;1026
1420257600;2218;1025
1420261200;2244;1024
1420264800;2290;1024
1420268400;2246;1023
1420272000;2237;1022
1420275600;2231;1021
1420279200;2254;1021
1420282800;2316;1019
1420286400;2296;1017
1420290000;2317;1016
1420293600;2312;1016
1420297200;2280;1015
1420300800;2348;1016
1420304400;2320;1016
1420308000;2425;1017
1420311600;2223;1018
1420315200;2316;1019
1420318800;2242;1020
1420322400;2188;1022
1420326000;2305;1024
1420329600;2210;1024
1420333200;2195;1025
1420336800;2187;1026
1420340400;2097;1027
1420344000;2179;1027
1420347600;2207;1028
1420351200;2095;1028
1420354800;2176;1029
1420358400;2131;1030
1420362000;2226;1031
1420365600;2125;1032
1420369200;2052;1032
1420372800;2185;1032
1420376400;2110;1033
1420380000;2066;1033
1420383600;2118;1033
1420387200;2115;1033
1420390800;2187;1033
1420394400;2142;1033
1420398000;2133;1033
1420401600;2053;1033
1420405200;2098;1034
1420408800;2122;1033
1420412400;2191;1033
1420416000;2186;1033
1420419600;2111;1032
1420423200;2122;1032
1420426800;2080;1032
1420430400;2141;1031
1420434000;2195;1031
1420437600;2155;1031
1420441200;2089;1031
1420444800;2204;1030
1420448400;2053;1030
1420452000;2195;1030
1420455600;2142;1030
1420459200;2181;1029
1420462800;2261;1028
1420466400;2102;1028
1420470000;2226;1028
1420473600;2224;1027
1420477200;2218;1027
1420480800;2194;1026
1420484400;2169;1026
1420488000;2145;1026
1420491600;2247;1026
1420495200;2246;1025
1420498800;2204;1024
1420502400;2239;1024
1420506000;2218;1024
1420509600;2179;1024
1420513200;2192;1023
1420516800;2288;1022
1420520400;2286;1021
1420524000;2176;1021
1420527600;2306;1021
1420531200;2302;1021
1420534800;1225;1020
1420556400;2314;1018
1420560000;2325;1018
1420563600;2357;1018
1420567200;2372;1018
1420570800;2299;1018
1420574400;2370;1019
1420578000;2374;1019
1420581600;2218;1020
1420585200;2344;1021
1420588800;2217;1021
1420592400;2321;1022
1420596000;2242;1023
1420599600;2187;1024
1420603200;2246;1024
1420606800;2271;1024
1420610400;2214;1024
1420614000;2139;1025
1420617600;2174;1025
1420621200;2245;1025
1420624800;2248;1025
1420628400;2165;1025
1420632000;2177;1024
1420635600;2200;1023
1420639200;2253;1023
1420642800;2238;1023
1420646400;2280;1023
1420650000;2238;1022
1420653600;2167;1021
1420657200;2224;1022
1420660800;2299;1021
1420664400;2185;1021
1420668000;2387;1020
1420671600;2350;1019
1420675200;2219;1019
1420678800;2360;1018
1420682400;2301;1018
1420686000;2275;1017
1420689600;2322;1017
1420693200;2276;1017
1420696800;2399;1016
1420700400;2255;1016
1420704000;2286;1016
1420707600;2271;1016
1420711200;2316;1015
1420714800;2376;1015
1420718400;2304;1015
1420722000;2395;1014
1420725600;2323;1015
1420729200;2304;1016
1420732800;2278;1017
1420736400;2267;1019
1420740000;2254;1020
1420743600;2204;1021
1420747200;2178;1022
1420750800;2181;1022
1420754400;2216;1023
1420758000;2280;1021
1420761600;2259;1021
1420765200;2307;1022
1420768800;2292;1021
1420772400;2232;1017
1420776000;2297;1016
1420779600;2290;1014
1420783200;2325;1013
1420786800;2324;1012
1420790400;2351;1012
1420794000;2365;1012
1420797600;2368;1012
1420801200;2379;1012
1420804800;2262;1013
1420808400;2350;1012
1420812000;2371;1012
1420815600;2326;1013
1420819200;2505;1014
1420822800;2368;1013
1420826400;2393;1011
1420830000;2402;1009
1420833600;2430;1008
1420837200;2361;1007
1420840800;2370;1008
1420844400;2400;1008
1420848000;2284;1008
1420851600;2304;1009
1420855200;2362;1009
1420858800;2343;1008
1420862400;2365;1007
1420866000;2339;1007
1420869600;2349;1006
1420873200;2388;1005
1420876800;2462;1004
1420880400;2488;1004
1420884000;2492;1003
1420887600;2395;1003
1420891200;2433;1002
1420894800;2412;1005
1420898400;2355;1006
1420902000;2514;1008
1420905600;2456;1009
1420909200;2350;1011
1420912800;2431;1011
1420916400;2400;1012
1420920000;2443;1012
1420923600;2373;1012
1420927200;2342;1013
1420930800;2329;1012
1420934400;2398;1012
1420938000;2380;1012
1420941600;2487;1011
1420945200;2443;1011
1420948800;2443;1010
1420952400;2428;1010
1420956000;2399;1011
1420959600;2330;1011
1420963200;2383;1012
1420966800;2322;1013
1420970400;2351;1014
1420974000;2329;1015
1420977600;2327;1015
1420981200;2307;1016
1420984800;2388;1016
1420988400;2257;1016
1420992000;2317;1017
1420995600;2278;1017
1420999200;2319;1017
1421002800;2337;1017
1421006400;2278;1017
1421010000;2378;1016
1421013600;2317;1016
1421017200;2272;1016
1421020800;2266;1016
1421024400;2356;1015
1421028000;2337;1014
1421031600;2293;1014
1421035200;2388;1013
1421038800;2369;1012
1421042400;2313;1011
1421046000;2445;1010
1421049600;2417;1010
1421053200;2425;1010
1421056800;2429;1009
1421060400;2462;1009
1421064000;2431;1008
1421067600;2429;1007
1421071200;2441;1007
1421074800;2305;1007
1421078400;2425;1007
1421082000;2409;1007
1421085600;2520;1006
1421089200;2386;1007
1421092800;2408;1006
1421096400;2399;1006
1421100000;2513;1005
1421103600;2449;1005
1421107200;2566;1005
1421110800;2517;1004
1421114400;2528;1003
1421118000;2566;1002
1421121600;2549;1001
1421125200;2549;1001
1421128800;2558;1000
1421132400;2506;1000
1421136000;2594;1000
1421139600;2571;1000
1421143200;2632;1000
1421146800;2565;1000
1421150400;2562;999
1421154000;2559;999
1421157600;2554;1000
1421161200;2628;1001
1421164800;2600;1001
1421168400;2591;1000
1421172000;2489;1000
1421175600;2513;1001
1421179200;2534;1002
1421182800;2634;1002
1421186400;2520;1002
1421190000;2595;1001
1421193600;2597;1001
1421197200;2596;1001
1421200800;2545;1001
1421204400;2550;1001
1421208000;2617;1002
1421211600;2440;1002
1421215200;2493;1002
1421218800;2533;1002
1421222400;2558;1003
1421226000;2558;1003
1421229600;2630;1003
1421233200;2597;1003
1421236800;2630;1003
1421240400;2482;1004
1421244000;2495;1005
1421247600;2515;1006
1421251200;2534;1007
1421254800;2445;1008
1421258400;2437;1008
1421262000;2421;1008
1421265600;2532;1008
1421269200;2473;1007
1421272800;2596;1006
1421276400;2560;1002
1421280000;2591;1002
1421283600;2540;1000
1421287200;2605;998
1421290800;2601;996
1421294400;2637;994
1421298000;2721;992
1421301600;2604;992
1421305200;2712;991
1421308800;2722;991
1421312400;2686;991
1421316000;2655;991
1421319600;2655;991
1421323200;2694;991
1421326800;2736;991
1421330400;2666;990
1421334000;2690;990
1421337600;2684;991
1421341200;2711;991
1421344800;2712;992
1421348400;2669;992
1421352000;2636;993
1421355600;2654;994
1421359200;2669;994
1421362800;2613;996
1421366400;2623;996
1421370000;2645;996
1421373600;2623;997
1421377200;2648;998
1421380800;2549;998
1421384400;2591;999
1421388000;2507;1000
1421391600;2587;1000
1421395200;2530;1001
1421398800;2504;1002
1421402400;2460;1002
1421406000;2535;1002
1421409600;2541;1002
1421413200;2506;1002
1421416800;2484;1002
1421420400;2439;1002
1421424000;2563;1003
1421427600;2538;1003
1421431200;2576;1004
1421434800;2600;1004
1421438400;2506;1005
1421442000;2616;1005
1421445600;2533;1006
1421449200;2566;1007
1421452800;2509;1007
1421456400;2486;1008
1421460000;2483;1009
1421463600;2476;1009
1421467200;2511;1009
1421470800;2554;1010
1421474400;2534;1010
1421478000;2500;1011
1421481600;2476;1011
1421485200;2533;1012
1421488800;2418;1012
1421492400;2444;1012
1421496000;2451;1012
1421499600;2495;1012
1421503200;2424;1011
1421506800;2424;1011
1421510400;2469;1011
1421514000;2507;1011
1421517600;2470;1011
1421521200;2485;1011
1421524800;2443;1011
1421528400;2481;1011
1421532000;2479;1011
1421535600;2536;1011
1421539200;2460;1011
1421542800;2485;1010
1421546400;2498;1010
1421550000;2469;1010
1421553600;2435;1010
1421557200;2524;1010
1421560800;2490;1009
1421564400;2543;1009
1421568000;2502;1010
1421571600;2502;1010
1421575200;2524;1010
1421578800;2520;1010
1421582400;2547;1009
1421586000;2408;1009
1421589600;2523;1009
1421593200;2479;1009
1421596800;2468;1010
1421600400;2591;1010
1421604000;2410;1010
1421607600;2442;1010
1421611200;2462;1010
1421614800;2524;1011
1421618400;2479;1011
1421622000;2351;1011
1421625600;2477;1011
1421629200;2560;1011
1421632800;2506;1011
1421636400;2533;1011
1421640000;2425;1011
1421643600;2395;1011
1421647200;2491;1011
1421650800;2451;1011
1421654400;2502;1011
1421658000;2494;1011
1421661600;2493;1011
1421665200;2520;1011
1421668800;2490;1011
1421672400;2411;1010
1421676000;2504;1010
1421679600;2409;1010
1421683200;2514;1010
1421686800;2535;1010
1421690400;2423;1010
1421694000;2493;1010
1421697600;2506;1010
1421701200;2539;1010
1421704800;2432;1010
1421708400;2479;1010
1421712000;2549;1010
1421715600;2492;1010
1421719200;2405;1010
1421722800;2517;1010
1421726400;2413;1010
1421730000;2482;1010
1421733600;2513;1010
1421737200;2382;1010
1421740800;2425;1011
1421744400;2432;1011
1421748000;2451;1011
1421751600;2409;1011
1421755200;2451;1011
1421758800;2516;1011
1421762400;2395;1011
1421766000;2454;1010
1421769600;2472;1010
1421773200;2471;1011
1421776800;2454;1011
1421780400;2458;1011
1421784000;2460;1011
1421787600;2549;1011
1421791200;2433;1011
1421794800;2505;1011
1421798400;2455;1011
1421802000;2505;1010
1421805600;2465;1010
1421809200;2504;1010
1421812800;2476;1010
1421816400;2461;1010
1421820000;2450;1010
1421823600;2433;1010
1421827200;2526;1011
1421830800;2464;1011
1421834400;2447;1011
1421838000;2501;1011
1421841600;2475;1011
1421845200;2459;1010
1421848800;2488;1010
1421852400;2405;1011
1421856000;2545;1011
1421859600;2471;1011
1421863200;2494;1012
1421866800;2339;1012
1421870400;2405;1013
1421874000;2428;1013
1421877600;2260;1013
1421881200;2430;1014
1421884800;2433;1014
1421888400;2432;1014
1421892000;2382;1015
1421895600;2371;1015
1421899200;2321;1015
1421902800;2389;1015
1421906400;2398;1016
1421910000;2438;1016
1421913600;2378;1017
1421917200;2354;1018
1421920800;2368;1018
1421924400;2397;1019
1421928000;2340;1019
1421931600;2355;1018
1421935200;2349;1018
1421938800;2359;1019
1421942400;2322;1020
1421946000;2381;1020
1421949600;2412;1021
1421953200;2303;1022
1421956800;2250;1022
1421960400;2341;1022
1421964000;2361;1023
1421967600;2352;1023
1421971200;2282;1023
1421974800;2326;1023
1421978400;2364;1023
1421982000;2345;1024
1421985600;2327;1024
1421989200;2331;1024
1421992800;2281;1024
1421996400;2352;1025
1422000000;2336;1025
1422003600;2247;1025
1422007200;2335;1025
1422010800;2211;1025
1422014400;2112;1025
1422018000;2274;1025
1422021600;2263;1025
1422025200;2273;1024
1422028800;2284;1024
1422032400;2417;1024
1422036000;2293;1024
1422039600;2283;1023
1422043200;2248;1023
1422046800;2298;1023
1422050400;2296;1022
1422054000;2370;1019
1422057600;2342;1019
1422061200;2307;1018
1422064800;2295;1017
1422068400;2355;1015
1422072000;2435;1015
1422075600;2360;1014
1422079200;2419;1014
1422082800;2429;1014
1422086400;2273;1015
1422090000;2352;1016
1422093600;2320;1016
1422097200;2366;1017
1422100800;2215;1018
1422104400;2336;1018
1422108000;2316;1019
1422111600;2270;1020
1422115200;2197;1021
1422118800;2268;1022
1422122400;2270;1023
1422126000;2200;1024
1422129600;2244;1024
1422133200;2103;1025
1422136800;2290;1025
1422140400;2188;1026
1422144000;2170;1026
1422147600;2216;1026
1422151200;2223;1026
1422154800;2226;1026
1422158400;2196;1026
1422162000;2183;1027
1422165600;2137;1027
1422169200;2158;1027
1422172800;2240;1027
1422176400;2202;1027
1422180000;2096;1028
1422183600;2188;1027
1422187200;2183;1027
1422190800;2271;1026
1422194400;2209;1026
