XCOM2 NIST data for pair forming C9H10 Vinyltoluene scintilator

E[MeV];pair forming nucleus field attenuation[cm2/g];attenuation pair forming electron field [cm2/g]
3;8.60E-04;1.32E-05
4;1.40E-03;5.37E-05
5;1.88E-03;1.07E-04
6;2.31E-03;1.64E-04
7;2.69E-03;2.22E-04
8;3.03E-03;2.77E-04
9;3.35E-03;3.31E-04
10;3.63E-03;3.82E-04
11;3.89E-03;4.30E-04
12;4.13E-03;4.75E-04
13;4.35E-03;5.19E-04
14;4.56E-03;5.60E-04
15;4.75E-03;5.99E-04
16;4.94E-03;6.36E-04
18;5.27E-03;7.06E-04
20;5.57E-03;7.69E-04
22;5.84E-03;8.28E-04
24;6.09E-03;8.82E-04
26;6.31E-03;9.32E-04
28;6.52E-03;9.80E-04
30;6.72E-03;1.02E-03
40;7.51E-03;1.21E-03
50;8.11E-03;1.36E-03
60;8.59E-03;1.47E-03
80;9.31E-03;1.66E-03
100;9.85E-03;1.80E-03
150;1.07E-02;2.04E-03
200;1.13E-02;2.20E-03
300;1.20E-02;2.41E-03
400;1.24E-02;2.54E-03
500;1.27E-02;2.64E-03
600;1.29E-02;2.70E-03
800;1.31E-02;2.80E-03
1000;1.33E-02;2.87E-03
